Accident_ID,Date,Time,Weather,Road_Condition,Location,Latitude,Longitude,Severity,Vehicles_Involved,Cause
A0034,2024-04-16,10:42,Windy,Dry,East Coast Road,9.299892,78.901505,Moderate,1,Speeding
A0035,2024-12-17,09:13,Clear,Wet,Rameswaram Road,9.288542,79.311032,Severe,2,Speeding
A0036,2024-10-10,06:27,Clear,Dry,Ramanathapuram Junction,9.364442,78.841807,Moderate,5,Speeding
A0037,2025-07-28,16:27,Clear,Dry,Market Road,9.365746,78.838547,Moderate,4,Vehicle Failure
A0038,2025-03-16,16:09,Clear,Dry,Madurai Road Junction,9.36107,78.811233,Severe,3,Vehicle Failure
A0039,2025-11-13,08:15,Clear,Muddy,Madurai Road Junction,9.365131,78.809551,Moderate,2,Vehicle Failure
A0040,2024-06-15,21:15,Windy,Potholes,Paramakudi Highway,9.546138,78.587019,Severe,1,Overtaking
A0041,2025-11-16,19:26,Rainy,Wet,Madurai Road Junction,9.36467,78.810536,Severe,1,Vehicle Failure
A0042,2025-04-16,08:52,Clear,Potholes,Market Road,9.368017,78.835423,Moderate,2,Overtaking
A0043,2024-03-12,11:55,Windy,Dry,Bus Stand Junction,9.366287,78.833247,Fatal,2,Weather
A0044,2024-04-28,11:01,Foggy,Dry,East Coast Road,9.301373,78.900493,Minor,5,Weather
A0045,2024-11-17,13:46,Clear,Under Construction,Industrial Area Road,9.349205,78.82577,Moderate,4,Speeding
A0046,2025-06-16,18:00,Windy,Dry,Ramanathapuram Junction,9.364046,78.840953,Moderate,3,Signal Violation
A0047,2024-12-04,13:42,Cloudy,Wet,Madurai Road Junction,9.363947,78.809509,Severe,4,Speeding
A0048,2024-10-29,11:44,Cloudy,Dry,Bus Stand Junction,9.366912,78.831805,Moderate,2,Poor Road Condition
A0049,2025-02-19,17:19,Clear,Dry,Paramakudi Highway,9.546444,78.590392,Moderate,2,Speeding
A0050,2025-11-22,14:28,Clear,Dry,Madurai Road Junction,9.365008,78.809648,Minor,3,Vehicle Failure
A0051,2025-10-10,09:42,Cloudy,Dry,Devipattinam Road,9.475877,78.867369,Minor,2,Overtaking
A0052,2024-09-07,07:02,Windy,Wet,Kilakarai Main Road,9.230486,78.783797,Severe,2,Signal Violation
A0053,2025-01-28,08:44,Clear,Dry,Industrial Area Road,9.349758,78.825606,Moderate,1,Poor Road Condition
A0054,2024-06-29,19:14,Rainy,Wet,Devipattinam Road,9.480829,78.868262,Minor,4,Weather
A0055,2025-06-27,19:42,Windy,Dry,Paramakudi Highway,9.546386,78.589888,Moderate,4,Overtaking
A0056,2025-07-15,13:58,Clear,Dry,East Coast Road,9.297122,78.89996,Moderate,2,Vehicle Failure
A0057,2025-05-11,19:33,Cloudy,Dry,Rameswaram Road,9.28809,79.315695,Moderate,2,Speeding
A0058,2024-05-21,21:05,Clear,Dry,Madurai Road Junction,9.364711,78.810452,Moderate,2,Speeding
A0059,2024-03-04,16:26,Clear,Dry,Madurai Road Junction,9.364948,78.808247,Moderate,2,Vehicle Failure
A0060,2024-12-26,12:00,Clear,Dry,Industrial Area Road,9.351714,78.826128,Moderate,3,Vehicle Failure
A0061,2024-08-13,19:57,Clear,Dry,East Coast Road,9.301187,78.898636,Moderate,2,Distracted Driving
A0062,2025-04-23,18:53,Foggy,Under Construction,Bus Stand Junction,9.369604,78.831897,Moderate,4,Poor Road Condition
A0063,2024-05-18,05:27,Rainy,Wet,Ramanathapuram Junction,9.36478,78.842786,Severe,2,Drunk Driving
A0064,2025-03-07,09:53,Clear,Dry,Bus Stand Junction,9.366014,78.833151,Fatal,2,Speeding
A0065,2025-10-29,08:04,Clear,Dry,Madurai Road Junction,9.365149,78.809245,Severe,3,Speeding
A0066,2024-04-27,07:42,Cloudy,Dry,Kilakarai Main Road,9.228674,78.785103,Minor,3,Weather
A0067,2024-04-27,22:45,Rainy,Wet,Industrial Area Road,9.348407,78.82571,Moderate,4,Weather
A0068,2024-07-22,12:45,Clear,Wet,Bus Stand Junction,9.366121,78.836325,Moderate,1,Poor Road Condition
A0069,2025-08-02,19:50,Rainy,Wet,Industrial Area Road,9.348825,78.824517,Minor,2,Poor Road Condition
A0070,2025-03-19,19:06,Windy,Wet,Bus Stand Junction,9.36872,78.832154,Minor,3,Vehicle Failure
A0071,2025-09-22,22:17,Rainy,Wet,East Coast Road,9.300341,78.901961,Moderate,3,Poor Road Condition
A0072,2024-10-12,20:05,Foggy,Dry,Kilakarai Main Road,9.228589,78.785277,Minor,2,Weather
A0073,2024-07-05,15:20,Clear,Dry,Ramanathapuram Junction,9.36429,78.840673,Moderate,2,Speeding
A0074,2024-07-14,16:33,Clear,Wet,Rameswaram Road,9.286145,79.310019,Moderate,3,Distracted Driving
A0075,2024-04-05,14:01,Clear,Dry,Market Road,9.366583,78.836645,Moderate,3,Speeding
A0076,2025-07-17,16:27,Clear,Wet,East Coast Road,9.300376,78.90052,Minor,2,Speeding
A0077,2025-07-02,10:47,Windy,Wet,Kilakarai Main Road,9.22998,78.785348,Moderate,3,Speeding
A0078,2025-09-03,23:33,Clear,Dry,Industrial Area Road,9.35044,78.823928,Moderate,2,Speeding
A0079,2024-10-07,18:08,Clear,Dry,Ramanathapuram Junction,9.366699,78.840211,Severe,4,Speeding
A0080,2025-08-10,06:00,Clear,Dry,Market Road,9.364013,78.837185,Minor,5,Distracted Driving
A0081,2025-02-14,06:04,Clear,Dry,Market Road,9.364338,78.837381,Moderate,1,Weather
A0082,2024-05-01,05:15,Cloudy,Dry,Rameswaram Road,9.289738,79.310769,Severe,2,Drunk Driving
A0083,2024-10-31,14:28,Rainy,Wet,Bus Stand Junction,9.368945,78.834619,Moderate,2,Weather
A0084,2025-11-07,17:16,Clear,Dry,Kilakarai Main Road,9.232233,78.787845,Moderate,1,Drunk Driving
A0085,2024-08-25,14:02,Clear,Dry,Industrial Area Road,9.349632,78.823869,Minor,1,Signal Violation
A0086,2025-08-26,19:40,Cloudy,Under Construction,Rameswaram Road,9.286666,79.310776,Moderate,2,Poor Road Condition
A0087,2024-03-02,20:04,Clear,Dry,Rameswaram Road,9.287884,79.312512,Minor,2,Signal Violation
A0088,2025-12-17,14:19,Clear,Dry,Devipattinam Road,9.478415,78.869241,Moderate,2,Drunk Driving
A0089,2024-09-13,18:38,Clear,Dry,Bus Stand Junction,9.36752,78.83618,Moderate,4,Poor Road Condition
A0090,2024-10-02,23:43,Cloudy,Muddy,Ramanathapuram Junction,9.363503,78.84358,Severe,2,Speeding
A0091,2025-03-22,08:37,Cloudy,Dry,Rameswaram Road,9.288939,79.310714,Moderate,2,Speeding
A0092,2025-02-25,20:21,Cloudy,Dry,Devipattinam Road,9.476394,78.868724,Moderate,3,Overtaking
A0093,2024-11-27,06:16,Clear,Muddy,Market Road,9.365465,78.837271,Minor,3,Vehicle Failure
A0094,2024-07-11,14:03,Clear,Wet,East Coast Road,9.30071,78.899891,Minor,2,Distracted Driving
A0095,2024-10-21,16:59,Clear,Wet,Rameswaram Road,9.28673,79.309728,Fatal,5,Speeding
A0096,2025-07-18,18:19,Clear,Dry,Kilakarai Main Road,9.23033,78.786285,Minor,3,Speeding
A0097,2025-05-25,17:09,Windy,Dry,Devipattinam Road,9.478321,78.866131,Moderate,2,Signal Violation
A0098,2024-05-28,09:35,Clear,Under Construction,Market Road,9.36606,78.836778,Severe,4,Poor Road Condition
A0099,2025-02-28,19:54,Clear,Muddy,Rameswaram Road,9.286674,79.312231,Severe,1,Speeding
A0100,2025-05-16,16:42,Rainy,Wet,Industrial Area Road,9.350087,78.823286,Moderate,3,Drunk Driving
A0101,2024-09-01,20:44,Cloudy,Dry,Madurai Road Junction,9.365537,78.810841,Moderate,1,Signal Violation
A0102,2025-10-29,12:42,Windy,Dry,Bus Stand Junction,9.369125,78.835581,Moderate,2,Speeding
A0103,2024-04-12,20:28,Clear,Dry,Devipattinam Road,9.475933,78.866593,Moderate,2,Weather
A0104,2024-09-28,05:50,Clear,Wet,Paramakudi Highway,9.546773,78.590771,Severe,3,Poor Road Condition
A0105,2025-10-03,12:20,Cloudy,Muddy,East Coast Road,9.300773,78.905779,Minor,1,Vehicle Failure
A0106,2024-04-02,23:47,Clear,Dry,Rameswaram Road,9.288856,79.313703,Moderate,4,Poor Road Condition
A0107,2024-11-28,21:02,Rainy,Wet,Rameswaram Road,9.289431,79.312977,Fatal,2,Speeding
A0108,2025-09-16,07:05,Foggy,Wet,Paramakudi Highway,9.545527,78.591138,Minor,4,Distracted Driving
A0109,2024-09-18,17:29,Cloudy,Potholes,Market Road,9.364641,78.835845,Moderate,2,Poor Road Condition
A0110,2025-08-24,14:22,Clear,Under Construction,Devipattinam Road,9.477272,78.868123,Minor,2,Weather
A0111,2024-08-30,20:06,Clear,Dry,Bus Stand Junction,9.370972,78.831199,Minor,3,Speeding
A0112,2025-12-03,09:36,Rainy,Under Construction,Bus Stand Junction,9.368529,78.831581,Severe,3,Signal Violation
A0113,2024-08-12,17:22,Cloudy,Wet,Kilakarai Main Road,9.230292,78.786633,Moderate,3,Poor Road Condition
A0114,2025-10-04,17:57,Cloudy,Dry,Paramakudi Highway,9.546096,78.588383,Moderate,2,Distracted Driving
A0115,2025-03-01,21:20,Clear,Dry,Devipattinam Road,9.476927,78.869019,Severe,5,Drunk Driving
A0116,2025-05-08,20:16,Windy,Dry,Rameswaram Road,9.286904,79.312325,Moderate,3,Overtaking
A0117,2025-11-23,07:14,Cloudy,Under Construction,Devipattinam Road,9.478068,78.867023,Minor,3,Overtaking
A0118,2024-05-06,01:34,Clear,Wet,Bus Stand Junction,9.370716,78.834951,Severe,2,Poor Road Condition
A0119,2025-04-27,06:14,Clear,Potholes,Madurai Road Junction,9.361962,78.81028,Moderate,4,Poor Road Condition
A0120,2025-12-18,17:29,Clear,Dry,Devipattinam Road,9.477007,78.869279,Moderate,4,Speeding
A0121,2025-07-04,06:15,Clear,Dry,Market Road,9.364611,78.836028,Severe,3,Poor Road Condition
A0122,2024-06-07,16:46,Foggy,Wet,Bus Stand Junction,9.368257,78.835299,Severe,2,Vehicle Failure
A0123,2024-08-10,02:23,Clear,Under Construction,Rameswaram Road,9.2862,79.311498,Moderate,1,Vehicle Failure
A0124,2025-01-02,21:41,Clear,Dry,East Coast Road,9.299288,78.89902,Severe,4,Overtaking
A0125,2025-10-16,18:41,Cloudy,Dry,Devipattinam Road,9.480648,78.868607,Minor,2,Signal Violation
A0126,2025-07-21,08:53,Clear,Dry,Industrial Area Road,9.348109,78.826377,Minor,2,Vehicle Failure
A0127,2024-05-28,00:54,Windy,Dry,Industrial Area Road,9.353183,78.826549,Severe,1,Vehicle Failure
A0128,2024-08-31,01:50,Cloudy,Dry,Paramakudi Highway,9.543721,78.589274,Moderate,1,Speeding
A0129,2025-04-04,18:30,Rainy,Dry,Devipattinam Road,9.4799,78.866938,Minor,4,Weather
A0130,2024-02-01,10:41,Clear,Dry,East Coast Road,9.300666,78.901162,Moderate,3,Distracted Driving
A0131,2024-11-25,05:05,Cloudy,Dry,Market Road,9.36441,78.836111,Moderate,3,Speeding
A0132,2025-06-27,12:38,Clear,Dry,Madurai Road Junction,9.360138,78.808463,Minor,3,Distracted Driving
A0133,2025-03-16,18:13,Clear,Dry,East Coast Road,9.299621,78.898128,Minor,2,Distracted Driving
A0134,2025-11-12,10:20,Clear,Under Construction,Devipattinam Road,9.480449,78.865855,Minor,2,Weather
A0135,2025-01-16,06:06,Rainy,Wet,Devipattinam Road,9.47734,78.868196,Minor,2,Weather
A0136,2025-03-09,20:48,Rainy,Under Construction,Madurai Road Junction,9.367162,78.807846,Moderate,2,Poor Road Condition
A0137,2024-08-17,07:30,Rainy,Wet,Kilakarai Main Road,9.232745,78.785015,Moderate,2,Speeding
A0138,2025-09-28,20:49,Cloudy,Wet,Bus Stand Junction,9.366028,78.834693,Fatal,4,Speeding
A0139,2025-12-20,02:17,Rainy,Wet,Rameswaram Road,9.288299,79.3111,Fatal,1,Speeding
A0140,2024-02-01,07:40,Clear,Dry,Devipattinam Road,9.478105,78.867422,Minor,2,Distracted Driving
A0141,2025-08-04,18:49,Cloudy,Potholes,Rameswaram Road,9.28817,79.312993,Minor,3,Distracted Driving
A0142,2025-03-10,09:42,Clear,Dry,Devipattinam Road,9.480379,78.866143,Minor,3,Speeding
A0143,2025-11-25,06:43,Cloudy,Dry,Bus Stand Junction,9.3707,78.831072,Fatal,2,Distracted Driving
A0144,2024-08-04,00:19,Rainy,Wet,Ramanathapuram Junction,9.363672,78.840382,Severe,2,Speeding
A0145,2024-08-23,12:45,Clear,Potholes,Paramakudi Highway,9.546421,78.589066,Severe,1,Vehicle Failure
A0146,2024-03-20,13:29,Rainy,Wet,Ramanathapuram Junction,9.363588,78.83876,Minor,2,Signal Violation
A0147,2025-09-24,22:10,Clear,Wet,Ramanathapuram Junction,9.363016,78.840774,Minor,2,Distracted Driving
A0148,2024-03-21,17:33,Clear,Dry,Bus Stand Junction,9.368036,78.832961,Minor,2,Distracted Driving
A0149,2025-06-06,17:33,Clear,Muddy,East Coast Road,9.301349,78.900461,Severe,4,Distracted Driving
A0150,2024-09-19,08:09,Clear,Wet,Paramakudi Highway,9.547219,78.590944,Minor,3,Signal Violation
A0151,2025-08-16,14:36,Clear,Under Construction,Market Road,9.364557,78.83536,Moderate,3,Poor Road Condition
A0152,2025-04-25,07:04,Clear,Dry,Madurai Road Junction,9.366121,78.810916,Moderate,1,Speeding
A0153,2024-02-28,14:02,Clear,Dry,Rameswaram Road,9.287969,79.312176,Minor,5,Poor Road Condition
A0154,2025-08-17,15:29,Cloudy,Muddy,Industrial Area Road,9.351916,78.824113,Moderate,2,Vehicle Failure
A0155,2025-05-28,10:30,Clear,Dry,Kilakarai Main Road,9.231821,78.784697,Moderate,4,Speeding
A0156,2024-02-10,15:11,Clear,Dry,Devipattinam Road,9.477673,78.869648,Minor,2,Distracted Driving
A0157,2025-02-22,21:24,Rainy,Dry,Madurai Road Junction,9.366238,78.81122,Minor,2,Weather
A0158,2024-09-15,18:18,Cloudy,Wet,East Coast Road,9.301958,78.900032,Moderate,4,Vehicle Failure
A0159,2024-12-24,18:58,Clear,Wet,Industrial Area Road,9.351023,78.824535,Moderate,1,Poor Road Condition
A0160,2025-10-20,10:24,Rainy,Wet,Devipattinam Road,9.478486,78.867805,Moderate,3,Vehicle Failure
A0161,2025-03-09,06:42,Clear,Dry,East Coast Road,9.300145,78.900893,Minor,4,Distracted Driving
A0162,2024-06-07,08:08,Clear,Potholes,Market Road,9.364573,78.839339,Severe,3,Speeding
A0163,2025-09-24,03:21,Clear,Dry,East Coast Road,9.298491,78.898179,Severe,3,Speeding
A0164,2025-02-24,18:02,Clear,Wet,Paramakudi Highway,9.547737,78.591187,Moderate,2,Overtaking
A0165,2024-11-12,08:15,Windy,Muddy,Market Road,9.366736,78.837143,Moderate,2,Overtaking
A0166,2024-10-15,23:29,Rainy,Wet,Industrial Area Road,9.349982,78.823654,Fatal,2,Speeding
A0167,2025-01-15,04:30,Cloudy,Dry,Rameswaram Road,9.288114,79.310984,Minor,3,Signal Violation
A0168,2025-06-09,09:57,Clear,Dry,Paramakudi Highway,9.547463,78.589779,Moderate,2,Overtaking
A0169,2024-02-24,21:26,Clear,Dry,Madurai Road Junction,9.363762,78.809518,Minor,1,Distracted Driving
A0170,2025-10-27,21:53,Clear,Dry,Madurai Road Junction,9.365619,78.809154,Severe,4,Speeding
A0171,2025-04-04,19:30,Cloudy,Potholes,Paramakudi Highway,9.544767,78.590366,Minor,2,Speeding
A0172,2024-10-22,16:07,Clear,Dry,Industrial Area Road,9.350367,78.82424,Severe,3,Speeding
A0173,2025-05-26,06:57,Cloudy,Dry,Devipattinam Road,9.477293,78.868348,Minor,2,Distracted Driving
A0174,2024-09-03,00:22,Cloudy,Dry,Bus Stand Junction,9.365328,78.831889,Minor,2,Poor Road Condition
A0175,2025-06-03,16:50,Cloudy,Dry,East Coast Road,9.298922,78.89968,Fatal,3,Distracted Driving
A0176,2024-03-10,18:22,Clear,Wet,Rameswaram Road,9.288466,79.314213,Moderate,3,Poor Road Condition
A0177,2025-07-13,07:22,Clear,Wet,Madurai Road Junction,9.366286,78.80976,Fatal,3,Signal Violation
A0178,2024-05-18,17:51,Clear,Muddy,Market Road,9.365771,78.834696,Minor,2,Distracted Driving
A0179,2024-11-13,20:20,Clear,Under Construction,Kilakarai Main Road,9.230972,78.784567,Moderate,2,Poor Road Condition
A0180,2024-02-18,09:55,Rainy,Dry,Kilakarai Main Road,9.231484,78.783759,Moderate,4,Poor Road Condition
A0181,2025-05-23,11:11,Cloudy,Dry,Bus Stand Junction,9.368279,78.836299,Minor,2,Signal Violation
A0182,2024-07-03,05:38,Clear,Dry,Bus Stand Junction,9.367337,78.834603,Moderate,3,Speeding
A0183,2025-12-07,18:10,Clear,Dry,Industrial Area Road,9.351035,78.824398,Moderate,4,Weather
A0184,2024-02-28,09:50,Clear,Wet,Bus Stand Junction,9.367836,78.834019,Moderate,3,Distracted Driving
A0185,2025-11-25,07:38,Rainy,Dry,Ramanathapuram Junction,9.364047,78.83834,Minor,2,Vehicle Failure
A0186,2025-11-26,02:09,Clear,Dry,Industrial Area Road,9.350037,78.825747,Minor,1,Distracted Driving
A0187,2024-10-12,12:41,Clear,Dry,Madurai Road Junction,9.367177,78.811439,Minor,2,Weather
A0188,2024-09-23,06:49,Cloudy,Dry,East Coast Road,9.30323,78.898849,Fatal,3,Poor Road Condition
A0189,2024-03-16,06:54,Clear,Potholes,Kilakarai Main Road,9.232308,78.785275,Moderate,1,Poor Road Condition
A0190,2024-03-07,18:45,Clear,Dry,Madurai Road Junction,9.368285,78.808788,Severe,1,Speeding
A0191,2024-08-17,19:32,Clear,Dry,Paramakudi Highway,9.54474,78.589101,Minor,3,Speeding
A0192,2025-07-18,16:29,Clear,Potholes,East Coast Road,9.296814,78.899211,Severe,2,Speeding
A0193,2025-02-23,16:49,Rainy,Under Construction,Market Road,9.364661,78.836426,Moderate,2,Poor Road Condition
A0194,2025-07-18,07:53,Cloudy,Dry,Madurai Road Junction,9.365513,78.812814,Severe,2,Overtaking
A0195,2024-06-05,20:33,Clear,Dry,Ramanathapuram Junction,9.365326,78.838635,Severe,2,Overtaking
A0196,2024-03-21,21:54,Clear,Wet,East Coast Road,9.298652,78.900738,Severe,1,Drunk Driving
A0197,2024-06-21,06:41,Cloudy,Dry,East Coast Road,9.29802,78.902747,Severe,2,Speeding
A0198,2024-02-12,20:36,Rainy,Dry,Madurai Road Junction,9.366769,78.809296,Moderate,2,Weather
A0199,2024-02-01,13:40,Clear,Wet,Industrial Area Road,9.34743,78.827031,Severe,4,Speeding
A0200,2025-12-06,10:04,Clear,Dry,Bus Stand Junction,9.367328,78.835857,Moderate,2,Distracted Driving
A0201,2024-12-19,20:20,Windy,Dry,Madurai Road Junction,9.362608,78.809101,Minor,2,Poor Road Condition
A0202,2024-09-10,06:28,Clear,Dry,Market Road,9.365808,78.83627,Minor,4,Overtaking
A0203,2025-08-14,19:59,Cloudy,Dry,Paramakudi Highway,9.545325,78.590934,Moderate,5,Speeding
A0204,2025-02-06,15:05,Clear,Under Construction,Rameswaram Road,9.286399,79.311786,Minor,2,Distracted Driving
A0205,2025-10-31,17:53,Cloudy,Dry,Market Road,9.36598,78.836972,Minor,1,Speeding
A0206,2025-02-16,18:48,Clear,Dry,Rameswaram Road,9.289067,79.310313,Moderate,2,Drunk Driving
A0207,2025-07-17,12:28,Clear,Under Construction,Devipattinam Road,9.475699,78.869917,Severe,1,Weather
A0208,2025-07-25,12:21,Windy,Muddy,Bus Stand Junction,9.367998,78.832877,Moderate,2,Speeding
A0209,2024-12-07,03:45,Rainy,Dry,Ramanathapuram Junction,9.366227,78.839674,Severe,1,Overtaking
A0210,2024-11-02,07:39,Cloudy,Dry,Madurai Road Junction,9.366769,78.810101,Moderate,2,Distracted Driving
A0211,2024-12-05,19:23,Cloudy,Under Construction,Market Road,9.368891,78.838833,Moderate,3,Poor Road Condition
A0212,2025-11-02,17:16,Rainy,Wet,Ramanathapuram Junction,9.363527,78.840957,Minor,2,Signal Violation
A0213,2024-05-31,19:24,Rainy,Wet,Industrial Area Road,9.350968,78.827053,Minor,2,Signal Violation
A0214,2024-07-27,07:44,Clear,Muddy,Bus Stand Junction,9.366053,78.835029,Severe,4,Overtaking
A0215,2024-07-31,18:33,Cloudy,Under Construction,Ramanathapuram Junction,9.365488,78.836862,Severe,2,Poor Road Condition
A0216,2025-07-13,21:21,Clear,Muddy,Market Road,9.364025,78.833141,Severe,3,Weather
A0217,2024-10-12,15:15,Cloudy,Dry,Industrial Area Road,9.349596,78.826076,Minor,2,Overtaking
A0218,2024-11-20,18:31,Clear,Dry,Kilakarai Main Road,9.233254,78.785111,Minor,3,Overtaking
A0219,2025-02-08,18:24,Rainy,Potholes,Industrial Area Road,9.352443,78.82293,Severe,2,Drunk Driving
A0220,2024-09-19,21:41,Cloudy,Dry,Madurai Road Junction,9.362445,78.809917,Moderate,2,Signal Violation
A0221,2025-08-23,07:39,Clear,Dry,Rameswaram Road,9.288576,79.311951,Minor,2,Vehicle Failure
A0222,2025-04-28,13:45,Clear,Muddy,Devipattinam Road,9.474899,78.867866,Fatal,2,Speeding
A0223,2025-05-02,17:56,Clear,Dry,Bus Stand Junction,9.365543,78.835005,Moderate,2,Overtaking
A0224,2025-07-01,17:14,Cloudy,Potholes,Devipattinam Road,9.47855,78.86659,Severe,4,Speeding
A0225,2025-02-10,21:02,Rainy,Muddy,Paramakudi Highway,9.545229,78.588411,Minor,2,Overtaking
A0226,2024-12-09,16:06,Clear,Under Construction,Rameswaram Road,9.287906,79.313433,Severe,2,Poor Road Condition
A0227,2024-04-25,14:12,Clear,Wet,East Coast Road,9.298521,78.900756,Minor,3,Poor Road Condition
A0228,2025-11-21,19:36,Rainy,Potholes,Madurai Road Junction,9.364205,78.808811,Moderate,3,Overtaking
A0229,2024-07-08,13:06,Windy,Dry,Devipattinam Road,9.477839,78.866447,Minor,1,Overtaking
A0230,2024-11-05,19:21,Cloudy,Dry,Market Road,9.36497,78.834403,Moderate,2,Speeding
A0231,2025-02-19,14:10,Cloudy,Under Construction,Devipattinam Road,9.480947,78.868053,Moderate,3,Overtaking
A0232,2024-08-12,12:14,Windy,Dry,Rameswaram Road,9.28695,79.312321,Minor,5,Weather
A0233,2025-07-04,21:48,Rainy,Potholes,East Coast Road,9.299832,78.899669,Severe,2,Weather
A0234,2025-01-05,14:45,Clear,Dry,East Coast Road,9.300921,78.901136,Moderate,2,Speeding
A0235,2024-12-01,16:10,Rainy,Wet,Industrial Area Road,9.349204,78.824136,Severe,2,Signal Violation
A0236,2024-05-15,19:29,Clear,Dry,Market Road,9.365387,78.832747,Severe,2,Speeding
A0237,2024-01-04,12:52,Cloudy,Dry,Ramanathapuram Junction,9.361627,78.84155,Minor,2,Speeding
A0238,2025-04-28,21:04,Clear,Dry,Ramanathapuram Junction,9.366367,78.839126,Severe,3,Signal Violation
A0239,2025-01-26,12:57,Clear,Potholes,Bus Stand Junction,9.368365,78.834467,Severe,1,Poor Road Condition
A0240,2024-12-22,07:55,Clear,Under Construction,East Coast Road,9.304618,78.901679,Severe,1,Poor Road Condition
A0241,2025-04-19,19:19,Cloudy,Dry,Ramanathapuram Junction,9.363708,78.838067,Moderate,3,Drunk Driving
A0242,2024-04-25,07:12,Clear,Wet,Madurai Road Junction,9.36259,78.810305,Severe,4,Poor Road Condition
A0243,2025-08-31,08:06,Clear,Dry,Kilakarai Main Road,9.229865,78.782867,Moderate,1,Weather
A0244,2024-08-10,14:34,Rainy,Dry,Bus Stand Junction,9.36653,78.832378,Severe,2,Overtaking
A0245,2025-11-19,10:38,Rainy,Potholes,Industrial Area Road,9.352531,78.826322,Minor,2,Overtaking
A0246,2024-06-28,04:37,Cloudy,Dry,Rameswaram Road,9.287988,79.31422,Fatal,5,Distracted Driving
